0 ['nop', '+301']
1 ['acc', '+27']  
2 ['jmp', '+299'] 
3 ['nop', '+168'] 
4 ['acc', '+0']   
5 ['acc', '+48']  
6 ['acc', '-5']   
7 ['nop', '+420'] 
8 ['nop', '+155'] 
9 ['acc', '-16']  
10 ['acc', '-15'] 
11 ['jmp', '+582']
12 ['acc', '-5']  
13 ['nop', '+490']
14 ['acc', '+10'] 
15 ['jmp', '+300']
16 ['acc', '-2']  
17 ['acc', '-1']  
18 ['nop', '+252']
19 ['nop', '+2']  
20 ['nop', '+234']
21 ['acc', '+36'] 
22 ['acc', '+50'] 
23 ['nop', '+564']
24 ['nop', '+102']
25 ['nop', '+473']
26 ['acc', '+37']
27 ['acc', '+1']
28 ['acc', '+20']
29 ['nop', '+355']
30 ['acc', '+28']
31 ['acc', '-14']
32 ['acc', '+22']
33 ['nop', '+329']
34 ['acc', '+44']
35 ['nop', '+1']
36 ['nop', '+23']
37 ['jmp', '+312']
38 ['nop', '+251']
39 ['acc', '+12']
40 ['acc', '+39']
41 ['acc', '+33']
42 ['nop', '-21']
43 ['acc', '+28']
44 ['acc', '+14']
45 ['acc', '+42']
46 ['acc', '+33']
47 ['nop', '+502']
48 ['nop', '+123']
49 ['acc', '+24']
50 ['nop', '+11']
51 ['acc', '-8']
52 ['jmp', '+218']
53 ['jmp', '+516']
54 ['nop', '+244']
55 ['nop', '-36']
56 ['jmp', '+192']
57 ['acc', '-11']
58 ['nop', '+100']
59 ['nop', '+299']
60 ['nop', '+400']
61 ['acc', '+29']
62 ['acc', '+13']
63 ['nop', '+1']
64 ['acc', '+45']
65 ['nop', '+458']
66 ['acc', '+6']
67 ['acc', '+15']
68 ['nop', '+542']
69 ['acc', '+38']
70 ['acc', '-15']
71 ['acc', '-15']
72 ['acc', '-11']
73 ['nop', '+474']
74 ['acc', '+0']
75 ['acc', '+1']
76 ['nop', '+55']
77 ['acc', '+14']
78 ['acc', '+13']
79 ['acc', '+37']
80 ['acc', '-18']
81 ['nop', '+95']
82 ['nop', '-73']
83 ['acc', '+25']
84 ['jmp', '-54']
85 ['jmp', '+413']
86 ['acc', '-17']
87 ['acc', '+25']
88 ['acc', '+22']
89 ['jmp', '+405']
90 ['jmp', '+151']
91 ['jmp', '+1']
92 ['acc', '-14']
93 ['acc', '+33']
94 ['acc', '+30']
95 ['jmp', '-86']
96 ['acc', '+32']
97 ['acc', '-3']
98 ['acc', '+26']
99 ['acc', '+7']
100 ['jmp', '+493']
101 ['acc', '+44']
102 ['jmp', '+1']
103 ['nop', '+357']
104 ['acc', '+47']
105 ['jmp', '+412']
106 ['jmp', '+321']
107 ['acc', '-5']
108 ['jmp', '+12']
109 ['acc', '+18']
110 ['acc', '-1']
111 ['acc', '+29']
112 ['jmp', '+430']
113 ['acc', '+35']
114 ['acc', '+34']
115 ['jmp', '+1']
116 ['acc', '-6']
117 ['jmp', '+184']
118 ['acc', '-12']
119 ['jmp', '-36']
120 ['acc', '+22']
121 ['acc', '-5']
122 ['acc', '+14']
123 ['acc', '+0']
124 ['jmp', '+198']
125 ['jmp', '+293']
126 ['nop', '+76']
127 ['acc', '+8']
128 ['acc', '+13']
129 ['jmp', '+464']
130 ['jmp', '+309']
131 ['acc', '-19']
132 ['acc', '+27']
133 ['acc', '-10']
134 ['jmp', '+29']
135 ['acc', '-17']
136 ['jmp', '-77']
137 ['acc', '+49']
138 ['nop', '+224']
139 ['acc', '+0']
140 ['jmp', '+77']
141 ['acc', '+35']
142 ['acc', '+3']
143 ['jmp', '+317']
144 ['nop', '+27']
145 ['acc', '+6']
146 ['jmp', '+164']
147 ['acc', '+10']
148 ['acc', '+41']
149 ['acc', '-2']
150 ['acc', '-8']
151 ['jmp', '+347']
152 ['acc', '+14']
153 ['nop', '+148']
154 ['jmp', '+302']
155 ['acc', '+21']
156 ['acc', '+8']
157 ['jmp', '+282']
158 ['acc', '+3']
159 ['acc', '+12']
160 ['jmp', '+138']
161 ['acc', '-10']
162 ['jmp', '+311']
163 ['acc', '-6']
164 ['acc', '-10']
165 ['acc', '+13']
166 ['jmp', '+116']
167 ['acc', '+31']
168 ['acc', '+39']
169 ['acc', '+28']
170 ['jmp', '+244']
171 ['nop', '+59']
172 ['acc', '+16']
173 ['jmp', '+1']
174 ['jmp', '+436']
175 ['jmp', '-31']
176 ['acc', '-12']
177 ['acc', '+43']
178 ['jmp', '-135']
179 ['acc', '-1']
180 ['acc', '+35']
181 ['acc', '+50']
182 ['acc', '+0']
183 ['jmp', '+398']
184 ['jmp', '-83']
185 ['acc', '+40']
186 ['acc', '+26']
187 ['acc', '-8']
188 ['jmp', '+393']
189 ['acc', '+28']
190 ['acc', '-7']
191 ['acc', '+43']
192 ['jmp', '+231']
193 ['jmp', '-22']
194 ['acc', '-1']
195 ['acc', '-18']
196 ['acc', '+19']
197 ['jmp', '-111']
198 ['acc', '+38']
199 ['acc', '+21']
200 ['acc', '+7']
201 ['jmp', '+134']
202 ['acc', '+8']
203 ['acc', '+18']
204 ['acc', '-9']
205 ['acc', '-7']
206 ['jmp', '+24']
207 ['acc', '+5']
208 ['acc', '+0']
209 ['jmp', '-46']
210 ['acc', '+2']
211 ['acc', '-12']
212 ['acc', '-17']
213 ['acc', '+36']
214 ['jmp', '-88']
215 ['nop', '-71']
216 ['jmp', '+181']
217 ['jmp', '-15']
218 ['jmp', '+52']
219 ['acc', '+15']
220 ['acc', '+0']
221 ['jmp', '-32']
222 ['acc', '-6']
